id,name,flag,vessel_type_id,imo,call_sign,bruttotons,length_overall,vessel_status_id,checked,in_zone
1343,Bucanero I,CL,2,9148489.0,CB5903,1533.0,71.0,1,True,False
1344,Lider (deleted),CL,2,9169237.0,CB5938,1098.0,61.0,3,True,False
1362,Don Ole,PE,2,9763928.0,OA2150,2100.0,61.0,1,True,False
1387,Incamar 1,PE,2,8797879.0,AAAA,1007.0,80.0,1,True,False
1388,Incamar 2 (deleted),PE,2,8797881.0,AAAA,1037.0,80.0,3,True,False
1389,Incamar 3,PE,2,8797893.0,0000,1037.0,80.0,1,True,False
1391,Bamar VIII,PE,2,9133678.0,OA3194,1000.0,57.9,1,True,False
1392,Bamar I,PE,2,9130731.0,CE16660,449.0,62.2,3,True,False
1393,Bamar II,PE,2,9130743.0,AAAA,492.0,49.0,1,True,False
1394,Eten Diez,PE,2,6930611.0,AAAA,500.0,53.95,1,True,False
1395,HUACHO CINCO,PE,2,6917281.0,AAAA,500.0,54.0,3,True,False
1396,Isabelita,PE,2,8683444.0,CE28791,556.0,52.68,1,True,False
1397,KIARA-B,PE,2,9292644.0,AAAA,498.0,49.0,1,True,False
1398,Costanza,PE,2,8678451.0,OA2348,452.0,45.0,1,True,False
1399,MARYLIN II,PE,2,8693231.0,AAAA,466.0,48.0,1,True,False
1400,YAGODA B,PE,2,9130092.0,AAAA,484.0,48.0,1,True,False
1401,Caracol,PE,2,9122992.0,OA2092,392.0,47.0,1,True,False
1402,Chaveli II,PE,2,9130080.0,AAAA,491.0,49.0,1,True,False
1403,Costa Del Sol,PE,2,9120487.0,OA2091,392.0,46.57,4,True,False
1404,Ligrunn (PE),PE,2,9064968.0,OA -2109,769.0,47.6,1,True,False
1405,SAN FERNANDO,PE,2,9157844.0,AAAA,335.0,39.0,1,True,False
1406,Assadi,MA,2,7719923.0,CNA4968,939.0,59.0,1,True,False
1407,Aig,MA,2,7922386.0,CNA4490,702.0,48.0,3,True,False
1408,Allotf 3,MA,2,7911026.0,CNA4504,786.0,57.0,4,True,False
1409,Mayor,MA,2,7726691.0,CNA4890,1150.0,66.0,1,True,False
1410,Buland,MA,2,7713010.0,CNA4845,900.0,52.0,1,True,False
1411,Erika (MO),MA,2,8701909.0,CNA4858,1236.0,57.0,1,True,False
1412,Mansour Dakhla,MA,2,7393705.0,CNA4875,878.0,62.0,1,True,False
1413,Meya,MA,2,8616142.0,CNA4712,1242.0,58.0,4,True,False
1414,Polar (MO),MA,2,8820274.0,CNA4723,710.0,42.0,1,True,False
1415,Vikingbank (MAR),MA,2,7713008.0,CNA4694,972.0,56.0,1,True,False
1416,DEWAS 1,MR,2,7712767.0,5TBQ,939.0,59.0,3,True,False
1427,OCEAN VENTURE,MA,2,9256822.0,CNA5219,1632.0,62.0,1,True,False
1428,QUANT,MA,2,7825605.0,CNA4980,704.0,51.0,3,True,False
1429,Nordic,MA,2,6713996.0,CNA5129,966.0,58.0,1,True,False
1430,CETUS (MA),MA,2,8612794.0,CNA5345,1011.0,53.0,1,True,False
1449,Knut Olav,NO,2,9814686.0,LESF,772.0,43.0,1,True,True
1462,Taurus,RU,2,9281035.0,UBEJ,2190.0,67.0,1,True,False
1500,Eysturbúgvin,FO,2,9214484.0,XPZF,713.0,50.0,1,True,True
1501,INSE,LT,2,8413394.0,LYBB,442.0,39.0,3,True,True
1502,MINGE,LT,2,6714809.0,LYAB,378.0,37.0,3,True,True
1503,Janus,CK,2,6821638.0,E5U3785,1468.0,68.0,3,True,False
1507,Vastfjord II,SW,2,9286748.0,SGZE,599.0,42.0,1,True,True
